Crypto Name,Service,Total Raised,Description,Links
Raiinmaker,Blockchain Service,7500000.0,"Raiinmaker is a project focused on accelerating the next generation of Web3 by using decentralized AI and a human-powered network. It involves a network ecosystem that transforms the distribution of value linked to identity, data, and behavior through decentralized AI and Web3 infrastructure.","[[[['https://cryptorank.io/categories/blockchain-service'], ['https://cryptorank.io/tags/de-pin', 'https://cryptorank.io/tags/artificial-intelligence', 'https://cryptorank.io/tags/art']]], [[]], [[['https://www.raiinmaker.com/', 'https://twitter.com/Raiinmakerapp', 'https://t.me/raiinmakertalk', 'https://discord.com/invite/nxWzdAKCBK']]]]"
Satoshisync,DeFi,4300000.0,"SatoshiSync is The Permissionless Chain Agnostic Protocol for Inscriptions and BTC L2. Team simplify making BTCFi liquid with permissionless protocol designed to deploy, mint and bridge Inscriptions.","[[[['https://cryptorank.io/categories/blockchain-infrastructure'], ['https://cryptorank.io/tags/nft']]], [[]], [[['https://www.legitimate.tech/', 'https://twitter.com/legitimatetech', 'https://www.linkedin.com/company/legitimate', 'https://docs.legitimate.tech/public-docs']]]]"
Legitimate,Blockchain Infrastructure,10600000.0,"Legitimate presents an on-chain framework meticulously crafted to synchronize physical assets with their digital counterparts. Leveraging NFC and blockchain technology, Legitimate's 'Locked NFT Protocol' establishes a secure linkage between physical products (utilizing the LGT Tag) and unique digital identities on the blockchain.","[[[['https://cryptorank.io/categories/blockchain-infrastructure'], ['https://cryptorank.io/tags/dex', 'https://cryptorank.io/tags/cross-chain', 'https://cryptorank.io/tags/eigenlayer-ecosystem']]], [[]], [[['https://www.gasp.xyz/', 'https://twitter.com/gasp_xyz', 'https://discord.gg/gasp-xyz', 'https://blog.gasp.xyz/']]]]"
Mangata,Blockchain Infrastructure,300000.0,"Gasp offers native cross-chain swaps without resorting to traditional bridges through the power of escape hatches which guarantee the withdrawal of user funds at all times, ZK proofs and decentralized sequencers.","[[[['https://cryptorank.io/categories/chain'], ['https://cryptorank.io/tags/layer-2']]], [[]]]"
Bonus-Block,Blockchain Service,4000000.0,"BonusBlock is a Web3 marketing platform that incentivizies everyday on-chain activities, offering a unique model where users earn rewards through engagement, supported across multiple blockchains. It operates on a straightforward system: sign up, interact to increase wallet tier, and receive weekly rewards, aiming to enhance user interaction and loyalty to projects without integration hassles.","[[[['https://www.agora.finance/', 'https://twitter.com/AgoraDollar', 'https://www.linkedin.com/company/agorafinance']]]]"
Iotex,Chain,12000000.0,"IoTeX was founded in 2017 and operates as an open-source blockchain-based project. It is built to support use cases within the Internet of Things sector and allow humans and machines to interact in a completely decentralized manner. In particular, the platform hopes to solve the issue of lack of security and privacy. For example, home camera video recordings are owned by the provider.","[[[['https://cryptorank.io/categories/gamefi'], ['https://cryptorank.io/tags/nft', 'https://cryptorank.io/tags/play-to-earn']]], [[]], [[['https://gomblegames.com/', 'https://twitter.com/gomblegames', 'https://twitter.com/gomblegames', 'https://discord.com/invite/gomblegames', 'https://medium.com/@gomblegames']]]]"
Autolayer,DeFi,10000000.0,"AutoLayer is LRTfi hub on Arbitrum, interface within the EigenLayer ecosystem. It offers One-Click Liquid Restaking and Staking along with other DeFi strategies and incentives. Users can restake/stake at any time with multiple assets and compound their yield easily.","[[[['https://cryptorank.io/categories/social'], ['https://cryptorank.io/tags/artificial-intelligence']]], [[['https://www.soai.org/', 'https://twitter.com/SOAI_web3', 'https://t.me/SOAI_OfficeCommunity']]]]"
Camp-Network,Chain,5000000.0,"Camp Network is a modular Layer 2 (L2) solution that harnesses off-chain data from Web2 social platforms to facilitate on-chain value creation. By leveraging this innovative approach, Camp Network empowers users and creators across various domains including social media, music, entertainment, and more.","[[[['https://cryptorank.io/categories/blockchain-infrastructure'], ['https://cryptorank.io/tags/cloud-services']]], [[['https://www.deeplink.cloud/', 'https://twitter.com/DeepLinkGlobal', 'https://discord.com/invite/hCSAF3QC8U']]]]"
Agoradollar,Stablecoin,8000000.0,"Agora emerges as a stablecoin issuer offering users a refuge from volatility by pegging themselves to assets like the dollar. Agora's stablecoins are backed by a range of assets including cash, Treasury bonds, and overnight repurchase agreements. This ensures stability and reliability, providing users with a secure store of value in the volatile cryptocurrency market.","[[[['https://cryptorank.io/categories/blockchain-service'], ['https://cryptorank.io/tags/nft']]], [[]], [[['https://www.moongate.id/', 'https://twitter.com/moongate', 'https://t.me/MoongateNews', 'https://discord.gg/zg8MwKKtuv', 'https://www.linkedin.com/company/0xmoongate']]]]"
Rumby-Stars,GameFi,2700000.0,"GOMBLE, the developer of RumbyStars, is developing blockchain-based casual games that maximize the essential entertainment of the game, rather than just games for monetary gain. This way, users can have more fun and become more engaged in the gaming process. GOMBLE is an affiliate company of 111Percent.","[[[['https://cryptorank.io/categories/blockchain-service'], ['https://cryptorank.io/tags/trading-strategies', 'https://cryptorank.io/tags/artificial-intelligence']]], [[]], [[['https://xraders.xyz/', 'https://twitter.com/xraders_xyz', 'https://t.me/xraders_xyz/', 'https://discord.gg/7Y33DgEnbM', 'https://medium.com/@xraders', 'https://coinlive.gitbook.io/xraders/']]]]"
